Name,Region,University,Link,Total_citations,Total_citations_since_2015,H_index,H_index_since_2015,I10_index,I10_index_since_2015,Total articles,Copied Citations (Total),Calculated Citations (Scraped),Fake article count,Fake citation count,Star article count,Star citation count,Dash article count,Dash citation count,Percent of Fake Articles,Percent of Fake Citations
"Tlekkabul Ramazanov
","central asia
","Al-Farabi Kazakh National University
",https://scholar.google.com/citations?hl=en&user=GDSbvQUAAAAJ,2616,1564,28,21,65,59,133,2590,2637,0,0,3,32,3,47,0,0
"Buket Akkoyunlu
","western asia
","Cankaya University
",https://scholar.google.com/citations?hl=en&user=ArtZwPcAAAAJ,5696,2980,37,30,74,53,128,5566,5566,0,0,1,5,0,0,0,0
"David Lowe 
","north america
","University of British Columbia
",https://scholar.google.com/citations?hl=en&user=8vs5HGYAAAAJ,103343,41978,51,35,86,53,111,102791,102888,0,0,3,1890,4,97,0,0
"Marleen Peumans
","west+south+north europe
","Catholic University of Leuven
",https://scholar.google.com/citations?hl=en&user=HviCv80AAAAJ,14474,6202,52,36,71,68,101,14357,14357,0,0,0,0,0,0,0,0
"Omar Abu Arqub
","western asia
","Al-Balqa Applied University
",https://scholar.google.com/citations?hl=en&user=T4qYuBMAAAAJ,4022,3727,40,36,62,60,82,3873,3873,0,0,4,56,0,0,0,0
"Gerardo Saucedo Castaneda
","central america
","Metropolitian Autonomous University
",https://scholar.google.com/citations?hl=en&user=R_Do8L4AAAAJ,2414,823,27,18,46,23,71,2402,2402,0,0,0,0,0,0,0,0
"Ragnar Nurkse
","eastern europe
","Tallinn University of Technology
",https://scholar.google.com/citations?hl=en&user=EY3EEq4AAAAJ,8095,1538,22,11,33,12,57,8245,8245,0,0,1,4803,0,0,0,0
"Adel Benchabane
","north+west africa
","University of Biskra
",https://scholar.google.com/citations?hl=en&user=dp6rnKcAAAAJ,1204,812,15,14,21,20,48,1197,1197,0,0,5,49,0,0,0,0
"Ryspek Usubamatov
","central asia
","Kyrgyz State Technical University
",https://scholar.google.com/citations?hl=en&user=g8eTXiEAAAAJ,232,179,8,8,7,4,43,229,229,0,0,0,0,0,0,0,0
"Juan Luis Parra Vergara 
","south america
","University of Antioquia
",https://scholar.google.com/citations?hl=en&user=USDYbtIAAAAJ,19198,11808,22,18,30,26,43,18863,18863,0,0,0,0,0,0,0,0
"Fernando Rivera-Cabrera 
","central america
","Metropolitian Autonomous University
",https://scholar.google.com/citations?hl=en&user=wJc1HGoAAAAJ,569,393,13,12,16,16,35,556,557,0,0,0,0,1,1,0,0
"Miguel Angel Medina Pérez
","central america
","Monterrey Instute of Techonology
",https://scholar.google.com/citations?hl=en&user=ClLf8gwAAAAJ,400,340,12,11,13,12,32,338,338,0,0,0,0,0,0,0,0
"Altangerel Amarjargal
","eastern asia
","Mongolian University of Science and Technology
",https://scholar.google.com/citations?hl=en&user=RVB4DSEAAAAJ,1081,825,18,16,24,20,30,1069,1069,0,0,0,0,0,0,0,0
"Birger Poppel 
","west+south+north europe
","University of Greenland
",https://scholar.google.com/citations?hl=en&user=6SJF_UwAAAAJ,576,297,12,9,13,9,30,581,795,0,0,0,0,2,214,0,0
"Mariana Butinof
","south america
","National University of Corboba
",https://scholar.google.com/citations?hl=en&user=rI3d3dAAAAAJ,408,232,9,7,8,5,28,394,394,0,0,0,0,0,0,0,0
"Ricardo Abello-Galvis
","south america
","Del Rosario University 
",https://scholar.google.com/citations?hl=en&user=5uw2HLYAAAAJ,79,54,6,4,1,1,26,68,91,0,0,5,20,5,23,0,0
"AA Kulmyrzaev
","central asia
","Turkmen State Power Engineering  Institute
",https://scholar.google.com/citations?hl=en&user=MhoMMfUAAAAJ,1022,330,13,10,14,10,22,1017,1017,0,0,0,0,0,0,0,0
"Bilal Zaka 
","southern asia
","COMSATS University
",https://scholar.google.com/citations?hl=en&user=-e9Up68AAAAJ,611,269,8,6,7,2,20,608,608,0,0,0,0,0,0,0,0
"Abdelkader Dahchour 
","north+west africa
","Sidi Mohamed Ben Abdellah University
",https://scholar.google.com/citations?hl=en&user=0ooMwosAAAAJ,1073,200,12,8,12,8,19,1066,1066,0,0,0,0,0,0,0,0
"Mohammad Mahdi Aeinehvand 
","central america
","Monterrey Instute of Techonology
",https://scholar.google.com/citations?hl=en&user=8wh6JLAAAAAJ,239,236,7,7,7,7,17,236,236,0,0,0,0,0,0,0,0
"Rustam Orozbaev
","central asia
","American University of Central Asia
",https://scholar.google.com/citations?hl=en&user=HzIcjYQAAAAJ,134,106,8,7,6,5,17,134,134,0,0,0,0,0,0,0,0
"Martin G. Marchetta
","south america
","National University of Cuyo
",https://scholar.google.com/citations?hl=en&user=CP3y4ZEAAAAJ,282,166,5,4,3,3,15,280,280,0,0,0,0,0,0,0,0
"Rodrigo Quiroga
","south america
","National University of Corboba
",https://scholar.google.com/citations?hl=en&user=gH2fNmIAAAAJ,560,272,13,11,13,11,14,555,555,0,0,0,0,0,0,0,0
"Hernán Garrido 
","south america
","National University of Cuyo
",https://scholar.google.com/citations?hl=en&user=yu4o2YMAAAAJ,101,93,5,5,2,2,10,100,100,0,0,0,0,0,0,0,0
"Бахтиёржон Рахимов
","central asia
","Tashkent University of Information Technologies
",https://scholar.google.com/citations?hl=en&user=PDjRKeEAAAAJ,30,5,3,2,0,0,9,30,30,0,0,0,0,0,0,0,0
"Steven Arnfjord 
","west+south+north europe
","University of Greenland
",https://scholar.google.com/citations?hl=en&user=HjbI6bIAAAAJ,39,29,3,3,1,1,9,36,36,0,0,1,6,0,0,0,0
"Martin Daniel
","australia+new zealnd
","Divine Word University
",https://scholar.google.com/citations?hl=en&user=m3xLVBcAAAAJ,25,22,3,3,0,0,7,25,25,0,0,0,0,0,0,0,0
"Tanveer Ahmad
","southern asia
","COMSATS University
",https://scholar.google.com/citations?hl=en&user=0oRnCLcAAAAJ,82,82,3,3,2,2,5,80,80,0,0,0,0,0,0,0,0
"Takis Solulu
","australia+new zealnd
","University of Papua New Guinea
",https://scholar.google.com/citations?hl=en&user=rIlvLzwAAAAJ,68,18,4,3,3,0,5,68,68,0,0,0,0,0,0,0,0
"Mahmadyusuf Yunusi
","central asia
","Tajik National University
",https://scholar.google.com/citations?hl=en&user=WhiZtisAAAAJ,1,1,1,1,0,0,2,1,2,0,0,0,0,1,1,0,0
"Kingston Namun
","australia+new zealnd
","Divine Word University
",https://scholar.google.com/citations?hl=en&user=Q2jXqEQAAAAJ,3,3,1,1,0,0,2,3,3,0,0,0,0,0,0,0,0
"FRANCIS PULSAN
","australia+new zealnd
","University of Papua New Guinea
",https://scholar.google.com/citations?hl=en&user=8czOK-di0kgC,9,9,1,1,0,0,1,9,9,0,0,0,0,0,0,0,0
Waled Hussein Al-Arashi,western asia,University of Science and Technology Sana'a,https://scholar.google.com/citations?hl=en&user=iIi9x0sAAAAJ,292,283,7,7,7,7,10,268,268,0,0,0,0,0,0,0,0
