File Name,Author Name,Link,Total Articles Count,Total Citations (Copied),Total Citations (Calculated),... Count,... Citation Count,False Count,False Citation Count
"Harsha Madhyastha.txt
","Harsha Madhyastha
","https://scholar.google.com/citations?hl=en&user=kxDm9EsAAAAJ
",83,4159,4159,2,102,0,0
"Peter Szolovits.txt
","Peter Szolovits
","https://scholar.google.com/citations?hl=en&user=1LuGqFQAAAAJ
",259,10780,10780,42,2706,12,92
"Tudor Dumitras.txt
","Tudor Dumitras
","https://scholar.google.com/citations?hl=en&user=f6terwoAAAAJ
",112,2033,2053,14,150,43,1128
"Ameet Talwalkar.txt
","Ameet Talwalkar
","https://scholar.google.com/citations?hl=en&user=TW7U1W0AAAAJ
",79,6665,6808,5,1634,5,44
"David Karger.txt
","David Karger
","https://scholar.google.com/citations?hl=en&user=2vQRGrYAAAAJ
",460,61814,67139,21,319,63,2004
"Blair MacIntyre.txt
","Blair MacIntyre
","https://scholar.google.com/citations?hl=en&user=UA3tyKwAAAAJ
",154,12467,12467,4,301,12,204
"Dawson Engler.txt
","Dawson Engler
","https://scholar.google.com/citations?hl=en&user=Bz-b2a0AAAAJ
",114,16375,16375,5,555,4,294
"William Dally.txt
","William Dally
","https://scholar.google.com/citations?hl=en&user=YZHj-Y4AAAAJ
",500,54320,55492,24,2568,31,1536
"Karem Sakallah.txt
","Karem Sakallah
","https://scholar.google.com/citations?hl=en&user=M441iZ8AAAAJ
",254,9662,9662,12,92,7,49
"Guy Blelloch.txt
","Guy Blelloch
","https://scholar.google.com/citations?hl=en&user=Z6nLCukAAAAJ
",273,13587,14271,12,0,8,845
"Scott Mahlke.txt
","Scott Mahlke
","https://scholar.google.com/citations?hl=en&user=-XpZ4fgAAAAJ
",334,15839,16128,40,441,20,1177
"Maya Cakmak.txt
","Maya Cakmak
","https://scholar.google.com/citations?hl=en&user=sPlonWcAAAAJ
",106,3065,3065,1,1,5,358
"Daniele Micciancio.txt
","Daniele Micciancio
","https://scholar.google.com/citations?hl=en&user=8rjreLIAAAAJ
",96,10343,10343,4,20,2,2
"Julian McAuley.txt
","Julian McAuley
","https://scholar.google.com/citations?hl=en&user=icbo4M0AAAAJ
",85,7222,7222,1,21,0,0
"Arvind Krishnamurthy.txt
","Arvind Krishnamurthy
","https://scholar.google.com/citations?hl=en&user=EnCwNycAAAAJ
",240,15077,15077,28,869,4,8
"Simon Lucey.txt
","Simon Lucey
","https://scholar.google.com/citations?hl=en&user=vmAe35UAAAAJ
",198,6804,6804,8,142,4,70
"Yaoyun Shi.txt
","Yaoyun Shi
","https://scholar.google.com/citations?hl=en&user=0yra-NUAAAAJ
",77,2337,2337,0,0,1,0
"Insup Lee.txt
","Insup Lee
","https://scholar.google.com/citations?hl=en&user=qPlUgrgAAAAJ
",500,16231,16000,27,519,79,736
"Peter Allen.txt
","Peter Allen
","https://scholar.google.com/citations?hl=en&user=Gs5F2jYAAAAJ
",410,15479,15479,52,587,24,861
"Mihalis Yannakakis.txt
","Mihalis Yannakakis
","https://scholar.google.com/citations?hl=en&user=_pPy-pAAAAAJ
",299,33272,33828,28,154,14,263
"Stuart Russell.txt
","Stuart Russell
","https://scholar.google.com/citations?hl=en&user=2oy3OXYAAAAJ
",448,74613,74613,21,1811,54,4363
"Sariel Har-Peled.txt
","Sariel Har-Peled
","https://scholar.google.com/citations?hl=en&user=2s9_ZWgAAAAJ
",306,8603,8603,2,0,7,10
"Jian Ma.txt
","Jian Ma
","https://scholar.google.com/citations?hl=en&user=-f6ii2kAAAAJ
",500,19793,19512,2,84,10,153
"Justine Cassell.txt
","Justine Cassell
","https://scholar.google.com/citations?hl=en&user=wkC9xHMAAAAJ
",333,17778,18191,8,0,48,487
"Yiming Yang.txt
","Yiming Yang
","https://scholar.google.com/citations?hl=en&user=MlZq4XwAAAAJ
",287,28674,28674,15,15,51,81
"Bin Yu.txt
","Bin Yu
","https://scholar.google.com/citations?hl=en&user=60hCevIAAAAJ
",94,2554,2554,4,41,3,0
"Byron Boots.txt
","Byron Boots
","https://scholar.google.com/citations?hl=en&user=kXB8FBoAAAAJ
",113,1999,1999,2,0,3,38
"John Duchi.txt
","John Duchi
","https://scholar.google.com/citations?hl=en&user=i5srt20AAAAJ
",135,11657,11657,1,0,0,0
"Tushar Krishna.txt
","Tushar Krishna
","https://scholar.google.com/citations?hl=en&user=P__ztgcAAAAJ
",77,5686,5686,8,3239,0,0
